iter	RMSE
0	0.5013310974
1	0.5006346606
2	0.499944136
3	0.499010363
4	0.4986620248
5	0.4982030713
6	0.4976519116
7	0.4967736784
8	0.4962844821
9	0.4959602452
10	0.4956684448
11	0.4951061325
12	0.4945769065
13	0.4939723238
14	0.4933540362
15	0.4929272392
16	0.4923583859
17	0.4920752602
18	0.491357908
19	0.4907842576
20	0.490430411
21	0.4896796567
22	0.4892389381
23	0.4888099761
24	0.4884403355
25	0.487903588
26	0.4874640165
27	0.4868021911
28	0.4863877494
29	0.4858647313
30	0.4855620637
31	0.4849291523
32	0.4844485396
33	0.4839736082
34	0.4835513595
35	0.4831228591
36	0.4825636946
37	0.4820319721
38	0.4812302892
39	0.480771029
40	0.4804229785
41	0.4799173424
42	0.4793683795
