iter	Passed	Remaining
0	81	8234
1	702	35108
2	1383	45656
3	2141	52470
4	2921	56674
5	3713	59422
6	4480	60808
7	5266	61876
8	5277	54538
9	5476	50380
10	5580	46165
11	6355	47665
12	7050	48268
13	7700	48400
14	8371	48554
15	8376	45022
16	9064	45323
17	9142	42664
18	9809	42850
19	10447	42833
20	10451	40314
21	11166	40605
22	11842	40675
23	12467	40519
24	13170	40565
25	13833	40435
26	13888	38578
27	13893	36718
28	14510	36526
29	14711	35308
30	15386	35239
31	15476	33853
32	15570	32556
33	16188	32377
34	16847	32251
35	17556	32187
36	18175	31929
37	18910	31849
38	19617	31689
39	20297	31461
40	20953	31174
41	21647	30924
42	22266	30551
